Player ,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AB Agarkar,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MS Dhoni,0,0,0,0,0,0,0,0,0,0,0,0,0
Harbhajan Singh,0,0,0,0,0,0,0,nan,nan,0,0,nan,nan
KD Karthik,0,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0
Z Khan,0,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,nan
D Mongia,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
IK Pathan,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan
SK Raina,0,nan,nan,0,1,0,0,0,0,0,0,0,0
V Sehwag,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan
S Sreeshant,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SR Tendulkar,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
G Gambhir,nan,0,0,0,0,nan,0,nan,nan,nan,nan,nan,nan
RP Singh,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
RV Uthappa,nan,0,0,nan,nan,0,0,nan,nan,0,nan,nan,nan
Yuvraj Singh,nan,0,nan,0,0,0,0,0,0,nan,0,0,nan
Joginder Sharma,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RG Sharma,nan,0,0,0,0,0,0,0,0,1,0,1,2
YK Pathan,nan,0,nan,0,0,0,0,nan,nan,nan,nan,nan,nan
M Karthik,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
P Kumar,nan,nan,0,nan,0,0,0,nan,nan,nan,nan,nan,nan
I Sharma,nan,nan,0,0,nan,nan,0,0,nan,nan,nan,nan,nan
R Jadeja,nan,nan,nan,0,0,0,0,0,0,nan,0,0,nan
P Ojha,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
AB Dinda,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,nan
A Nehra,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,nan
S Tyagi,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
M Vijay,nan,nan,nan,nan,0,0,nan,nan,nan,0,nan,nan,nan
PP Chawla,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan
R Vinay Kumar,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan
R Ashwin,nan,nan,nan,nan,0,0,0,0,0,0,0,0,nan
V Kohli,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0
NV Ojha,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
A Mishra,nan,nan,nan,nan,0,nan,nan,nan,0,nan,0,0,nan
MM Patel,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
S Badrinath,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
S Dhawan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0
PA Patel,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
R Dravid,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
AM Rahane,nan,nan,nan,nan,nan,0,0,nan,0,0,0,nan,nan
MK Tiwari,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan
Rahul Sharma,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
UT Yadav,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0
L Balaji,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
P Awana,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
B Kumar,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0
Mohammed Shami,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,nan
AT Rayudu,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan
KV Sharma,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
STR Binny,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
KM Jadhav,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan
MK pandey,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
AR Patel,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
Sandeep Sharma,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
SV Samson,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
S Arvind,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
JJ Bumrah,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0
HH Pandya,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0
P Negi,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
YS Chahal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0
R Dhawan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
Mandeep Singh,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
KL Rahul,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0,1
J Unadkat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0
DS Kulkarni,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
BB Sran,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
Parvez Rasool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
RR Pant,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
Kuldeep Yadav,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
SS Iyer,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
M Siraj,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
W Sundar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
SN Thakur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
V Shankar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
S kaul,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
DL Chahar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
KK Ahmed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
KH Pandya,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
